Component,Origin,Licence,Copyright
@react-native-community/eslint-config,dev,MIT,"Copyright (c) Facebook, Inc. and its affiliates."
@types/jest,dev,MIT,"Copyrights are respective of each contributor listed at the beginning of each definition file."
@types/react,dev,MIT,"Copyrights are respective of each contributor listed at the beginning of each definition file."
@types/react-native,dev,MIT,"Copyrights are respective of each contributor listed at the beginning of each definition file."
eslint,dev,MIT,"Copyright OpenJS Foundation and other contributors, <www.openjsf.org>"
eslint-config-prettier,dev,MIT,"Copyright (c) 2017, 2018, 2019, 2020, 2021, 2022 Simon Lydell and contributors"
eslint-plugin-prettier,dev,MIT,"Copyright © 2017 Andres Suarez and Teddy Katz"
jest,dev,MIT,"Copyright (c) Facebook, Inc. and its affiliates."
prettier,dev,MIT,"Copyright © James Long and contributors"
react,dev,MIT,"Copyright (c) Facebook, Inc. and its affiliates."
react-native,dev,MIT,"Copyright (c) Facebook, Inc. and its affiliates."
react-native-builder-bob,dev,MIT,"Copyright (c) 2017 React Native Community"
typescript,dev,Apache-2.0,"Copyright (c) Microsoft Corporation."
